plot,lat,lon
USSES_1_2_C,44.2408108804,-112.1763206553
USSES_11_12_C,44.2406072002,-112.1763126925
USSES_15_16_C,44.2395782378,-112.1768907085
USSES_7_8_C,44.2403375544,-112.1771637909
