ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration
96,44.240279384,-112.1766958293,1687.7075195313,2012-05-16T16:39:31Z,,,X17-D,30-APR-12 4:18:09PM,30-APR-12 4:18:09PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
97,44.2402536515,-112.1766526625,1686.505859375,2012-05-16T16:39:31Z,,,X18-P,30-APR-12 4:17:29PM,30-APR-12 4:17:29PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
98,44.2406558152,-112.176639419,1705.4916992188,2012-05-16T16:39:31Z,,,X19-P,30-APR-12 3:44:06PM,30-APR-12 3:44:06PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
99,44.2407723237,-112.176285116,1711.0190429688,2012-05-16T16:39:31Z,,,X2-D,30-APR-12 3:32:49PM,30-APR-12 3:32:49PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
100,44.2406801227,-112.1767058037,1707.4143066406,2012-05-16T16:39:31Z,,,X20-D,30-APR-12 3:43:16PM,30-APR-12 3:43:16PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
101,44.2404562421,-112.1767375711,1691.3125,2012-05-16T16:39:31Z,,,X21-S,30-APR-12 7:16:44PM,30-APR-12 7:16:44PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
102,44.2395853624,-112.1768819075,1703.8093261719,2012-05-16T16:39:31Z,,,X22-G,30-APR-12 4:11:06PM,30-APR-12 4:11:06PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
103,44.241170967,-112.1760552842,1692.2736816406,2012-05-16T16:39:31Z,,,X23-G,30-APR-12 6:57:34PM,30-APR-12 6:57:34PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
104,44.2401531525,-112.1764166281,1691.3125,2012-05-16T16:39:31Z,,,X24-S,30-APR-12 7:19:09PM,30-APR-12 7:19:09PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
105,44.2409358546,-112.1766773891,1691.79296875,2012-05-16T16:39:31Z,,,X25-G,30-APR-12 7:11:12PM,30-APR-12 7:11:12PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
106,44.241200136,-112.1756857261,1692.2736816406,2012-05-16T16:39:31Z,,,X26-S,30-APR-12 6:59:38PM,30-APR-12 6:59:38PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
107,44.2408623453,-112.1768285148,1691.3125,2012-05-16T16:39:31Z,,,X27-S,30-APR-12 7:12:25PM,30-APR-12 7:12:25PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
108,44.241609592,-112.1759280469,1694.1962890625,2012-05-16T16:39:31Z,,,X28-S,30-APR-12 6:49:21PM,30-APR-12 6:49:21PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
109,44.2403442599,-112.1768797282,1686.265625,2012-05-16T16:39:31Z,,,X29-G,30-APR-12 4:23:57PM,30-APR-12 4:23:57PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
110,44.2399258353,-112.1769875195,1689.8703613281,2012-05-16T16:39:31Z,,,X3-C,30-APR-12 7:28:46PM,30-APR-12 7:28:46PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
