species,unit,size_class,Treatment,Period,R2_clim,RMSE_clim,MAE_clim,AICc_clim,BIC_clim,R2_null,RMSE_null,MAE_null,AICc_null,BIC_null
ARTR,log size,large,Control,Historical,0.8191688853685896,0.6755159602524349,0.4685036302951565,2497.2043721182245,2546.460332233942,0.8186967478068572,0.6837645367115938,0.46989152073271184,2556.5582796386543,2586.1588190377397
ARTR,log size,small,Control,Historical,0.3101245376598104,1.0181376466380354,0.8845973371492917,230.39862665104826,242.22678236739404,0.3159832734071791,0.87922632135775,0.7476341274732797,244.66557549667934,252.83918468392062
HECO,log size,large,Control,Historical,0.7280846327616257,0.7292505067722713,0.5300868391350354,5059.820855654792,5116.841899861959,0.7279807077425832,0.7311741350114059,0.5348617496824631,5094.283154769514,5128.5174318369345
HECO,log size,small,Control,Historical,0.13060806025582794,0.8126084835648255,0.6426844167236013,1133.0923963214432,1158.0342827203785,0.13049618824900486,0.805199876864286,0.6315649258352933,1145.2295376168142,1161.8912120292562
POSE,log size,large,Control,Historical,0.4884235249823806,0.8742712337819262,0.6817244535246355,8135.165504163036,8195.28900087561,0.4874479141539426,0.8776234832315402,0.6831744740069831,8160.086651157938,8196.176632573202
POSE,log size,small,Control,Historical,0.02689396431558686,0.8960786382150239,0.7772044962168727,1840.5006481882958,1867.260080004202,0.033604062736882115,0.8919193947236754,0.7767164371834168,1853.079297040278,1870.9438771623222
PSSP,log size,large,Control,Historical,0.702479128547887,0.7565628324834835,0.5711573736851739,10753.022806083176,10817.339159204825,0.7008626298690434,0.7696866857184211,0.5801054964061009,10851.371230790466,10889.971491036455
PSSP,log size,small,Control,Historical,0.05117061705831483,0.9352567611488091,0.7362978338028315,1025.0353588545497,1048.8322612205534,0.051325679456912826,0.9321298734869384,0.7458779813312602,1038.5455311926023,1054.4509400778807
